15%	lima belas persen
muuv	maaf
muwafiq	munafik
mv	video musik
mvnya	video musiknya
mw	mau
mw	mau
mwaa	semu
mwmbenarkan	membenarkan
mwndukung	dukung
mya	nya
myamar	myanmar
myampe	sampai
myanmar1948	myanmar 1948
mynafik	munafik
mys	myself
mz	mas
mz2	mas mas
n	dan
n	dan
naa	nah
naaaaahh	nah
naaaak	nak
naah	nah
naahh	nah
naamiin	amin
naas	nahas
nabinabiafrika	nabi nabi afrika
nabis	nabi
naboki	menabok
nabrak	menabrak
nabung	menabung
nabuungg	menabung
nacap	menancap
nach	nah
nadakah	adakah
nadalah	adalah
nade	adik
nadek	adik
nadilkan	adilkan
nadilnya	adilnya
nadjib	najib
naek	naik
naek	naik
naekin	naikan
nafass	napas
nafkahin	nafkahi
nagak	agak
nagama	agama
nagara	negara
naggung	tanggung
nagih	menagih
nagiiihhh	nagih
nagiss	tangis
nagitaslavina	nagita slavina
nago	menawar
nahahahahhaha	haha
nahan	menahan
nahannnn	tahan
nahdatul	nahdlatul ulama
nahdlatululama	nahdlatul ulama
nahdlyin	nahdliyin
nahh	nah
nahh	nah
nahh	nah
nahhh	nah
nahhh	nah
nahin	nahi
nahloh	nah loh
nahok	ahok
nahu	tahu
nai	tai
naikan	naikkan
naikin	naikan
naiking	naikan
naikkan	naikan
naileen	kuku palsu
nairn	nairn
najaran	ajaran
najiss	najis
najizz	najis
naka	nakal
nakal2an	nakal nakalan
nakalbolehgoblokjangan	nakal boleh goblok jangan
nakan	nah kan
nakhir2	akhir akhir
nakhirnya	akhirnya
nakibat	akibat
nakibatnya	akibatnya
nakk	anak
naksir	menaksir
naktivis	aktivis
naku	aku
nakun	akun
nakut2	menakuti
nakutin	menakutkan
nal	kenal
nalah	malah
nalbum	album
nalesane	alesannya
nalhamdulillah	alhamdulillah
nalhasil	alhasil
nalhmadulilah	alhamdullilah
nalias	alias
naloclair	aloclair
nalong	kalong
nalus	kalong
nam	nama
nama2	nama nama
namain	menamai
namakurudy	namaku rudy
naman	aman
namani	menamai
namannya	namanya
namany	namanya
namapon	tampon
namax	namanya
namax	namanya
nambah	menambah
nambah2	tambah tambah
nambahh	bertambah
nambahi	menambahkan
nambahin	menambahkan
nambang	menambang
nambil	ambil
name	nama
named	dinamakan
namigo	amigo
namnesia	amnesia
namnya	namanya
namo	nama
nampak	menampak
nampaknya	tampaknya
nampaknya	tampaknya
nampang	tampang
nampar	menampar
namparinn	menampari
nampilin	menampilkan
nampol	tampar
nanak	anak
nanaknya	anaknya
nanam	menanam
nanatsunotaizai	nanatsu no taizai
nancepin	menancapkan
nand	dan
nane	aku
naneh	aneh
nanem	tanam
nang	di
nang	di 
nang	di
nanganin	menangani
nangdi	dimana
nanges	tangis
nanget	banget
nanggapin	menanggapi
nanggapun	tanggap
nanggep	tanggap
nanggepin	menanggapi
nanggung	menanggung
nangiiiiis	tangis
nangiiis	tangis
nangiis	tangis
nangis	tangis
nangis	tangis
nangis2	tangis
nangislaj	tangis
nangiss	tangis
nangisss	tangis
nangkap	tangkap
nangkap	tangkap
nangkap	tangkap
nangke	nangka
nangkep	menangkap
nangkut	angkut
nanies	anies
nanj	anjing
nanjeur	tegak
nanjing	anjing
nanjir	anjir
nanjirr	anjir
nank	di
nantang	menantang
nantangin	menantang
nantek	antek
nantii	nanti
nantiii	nanti
nantik	nanti
nantj	nanti
nantum	antum
nanya	bertanya
nanya2	bertanya
nanyain	menanyakan
nanyain	menanyakan
nanyi	bernyanyi
naon	apa
napa	kenapa
napa2	kenapa kenapa
napaan	apaan
napabila	apabila
napada	kepada
napadah	apa dah
napah	kenapa
napakah	apakah
napalagi	apa lagi
napapun	apapun
naparat	aparat
napasih	apa sih
nape	kenapa
nape2	kenapa kenapa
napi	narapidana
napiternya	nah pintarnya
napol	narapidana politik
napsu	nafsu
napsuu	nafsu
napza	narkotika alkohol psikotropika dan zat adiktif
naq	anak
naq	anak
naqu	aku
narah	arah
narapina	narapidana
narasinya	narasi
narek	narik
nargumen	argumen
nari	menari
narik	menarik
narkoba	narkotika psikotropika dan obat terlarang
naroh	menaruh
narok	menaruh
narsis	bangga pada diri sendiri
narsitektur	arsitektur
narsum	narasumber
nartinya	artinya
nartis	artis
nas5	nasa
nasababh	nasabah
nasabahe	nasabah
nasbung	nasi bungkus
nasdem	nasional demokrat
nasdem	nasional demokrat
Nasdem	nasional demokrat
nasdrunlah	Nasdrun
nasehat	nasihat
nasehatin	menasihati
nasfem	nasdem
nasgor	nasi goreng
nashobiyyah	ashabiyyah
nashrani	nasrani
nasihatin	menasehati
nasihatkan	menasehati
nasiib	nasib
nasiik	asyik
nasing	asing
nasomalisdan	nasionalisme dan
nasset	aset
nastagfirullah	astagfirullah
nastaghfirullah	astagfirullah
nasu	anjing
nasumsi	asumsi
nata	menata
nataal	natal
natah	entah
natalius	natalia
natap	atap
natas	atas
natau	atau
nate	ate
nati	nanti
natilloh	nanti loh
national	nasional
nationalist	nasionalis
natrep	nature republic
naturalasi	natural
naturalisasiin	natural
naturalllll	natural
naudzubillahmindzalik	naudzubillahimindzalik
naufalyn	naufal
nauk	lauk
naura	aura
nawaatona	waatona
nawak	awak
nawal	awal
nawar	menawar
nawar2in	menawari
nawarin	menawari
nax	ingin
nax	ingin
nayah	ayah
nayangin	menayangkan
nayo	ayo
nbabi	babi
nbaca	baca
nbacot	bacot
nbagaimana	bagaimana
nbagi	bagi
nbagus	bagus
nbahasa	bahasa
nbahkan	bahkan
nbajingan	bajingan
nbalasan	balasan
nbalikin	kembalikan
nbambang	bambang
nbangga	bangga
nbangke	bangkai
nbangsaa	bangsa
nbangsad	bangsat
nbani	bani
nbantuin	tolong bantu
nbanyak	banyak
nbanyakin	perbanyak
nbarangkali	barangkali
nbaru	baru
nbarulah	barulah
nbasa	basa
nbatas	batas
nbau	bau
nbaxak	banyak
nbbm	bbm
nbeberapa	beberapa
nbeda	beda
nbegitu	begitu
nbegitulah	begitulah
nbego	bego
nbegundal	begundal
nbejat	bejat
nbela	bela
nbelajar	belajar
nbeli	beli
nbeliau	beliau
nbelum	belum
nbencii	benci
nbensin	bensin
nberagamalah	beragamalah
nberak	berak
nberarti	berarti
nberas	beras
nberasa	berasa
nberati	berarti
nberbanggalah	berbanggalah
nberbeda	berbeda
nberbekal	berbekal
nberbusa	berbusa
nberhentilah	berhentilah
nberi	beri
nberkembang	berkembang
nbersama	bersama
nbersatu	bersatu
nbertengkar	bertengkar
nbesanpun	besan pun
nbesok2	besok besok
nbetul	betul
nbgaimana	bagaimana
nbiadab	biadab
nbiar	biar
nbiarin	biarin
nbiarlah	biarlah
nbiasa	biasa
nbiasalah	biasalah
nbiasanya	biasanya
nbikin	buat
nbilang	bilang
nbioskop	bioskop
nbisa	bisa
nbismillah	bismillah
nbla	nabila
nblangsak	blangsak
nblkgn	belakang
nblom	belum
nbneran	beneran
nbobrok	bobrok
nbock	box
nbodo	bodoh
nbodoh	bodoh
nbolehlah	bolehlah
nbom	bom
nbonek	bonek
nboro	boro
nbosok	busuk
nbpjs	bpjs
nbr	badan penyelenggara jaminan sosial kesehatan
nbrengsek	berengsek
nbsok	besok
nbtw	ngomongngomong
nbuah	buah
nbuang	buang
nbuat	buat
nbuka	buka
nbukan	bukan
nbulat	bulat
nbundo	bunda
nbuta	buta
nbutakah	butakah
nbye	selamat tinggal
ncampur	campur
ncamsex	video camera sex
ncangkemu	cangkemu
ncangkul	cangkul
ncat	kucing
ncb	cat
ncebi	ncbi
ncebong	cebong
ncebong2	cebong
ncek	encek
ncelakalah	celakalah
ncen	memang
ncen	memang
ncermah	ceramah
ncewek	cewek
ncharlie	charlie
ncib	persib
ncinta	cinta
ncitra	citra
ncoba	coba
ncobalh	cobalah
ncocot	cocot
ncomeonla	ayolah
ncongor	congor
ncontohny	contohnya
ncopot	copot
ncowo	cowok
ncuihh	cih
ncuma	cuma
nda	tidak
ndabisa	tidak bisa
ndadanya	dadanya
ndaftar	daftar
ndaftar	daftar
ndagel	dagel
ndaging	daging
ndah	sudah
ndahulu	dahulu
ndak	tidak
ndak	tidak
ndakda	tidak ada
ndakk	tidak
ndalam	dalam
ndan	dan
ndana	dana
ndanai	dana
ndang	segera
ndari	dari
ndaripada	daripada
ndas	kepala
ndasar	dasar
ndasmu	kepalamu
ndax	tidak
ndaya	daya
ndayak	dayak
ndda	tidak
ndek	dik
ndeket	dekat
ndelok	lihat
ndendam	dendam
ndengan	dengan
ndengar	dengar
ndepok	depok
nder	pengirim
nderekgusmus	ikut gus mus
ndeso	kampungan
ndesomu	kampungan
ndewa	dewa
ndewek	sendiri
ndgn	dengan
ndhog	telur
ndi	dimana
ndia	dia
ndiantara	diantara
ndidudukin	diduduki
ndiem	diam
ndigoyang	digoyang
ndikenal	dikenal
ndilan	dilan
ndiluar	di luar
ndimana	di mana
ndimanapun	di manapun
ndiperlakukan	diperlakukan
ndireksi	direksi
ndiri	sendiri
ndiri	sendiri
ndirikan	dirikan
ndisana	disana
ndiserbu	diserbu
ndisini	disini
ndisiti	mendahului
nditanyain	ditanyai
nditegur	ditegur
nditemukan	ditemukan
ndk	tidak
ndk	tidak
ndki	daerah khusus ibukota
ndll	dan lain lain
ndobol	omong kosong
ndok	telur
ndominasi	dominasi
ndomisili	domisili
ndompleng	menumpang
ndongok	dungu
ndoro	majikan
ndors	mendukung
ndoweh	dower
ndower	dower
ndownload	mengunduh
ndowoon	dowoon
ndpt	dapat
ndrawasi	membahayakan
ndre	andre
ndropelepasa	dropelepasa
ndrun	kadrun
ndrun	kadrun
ndsr	dasar
nduduk	duduk
nduh	duh
nduit	duit
nduku	duku
ndukun	dukun
ndukung	dukung
ndukung	dukung
ndulang	dulang
ndull	gundul
ndulu	dulu
ndungu	dungu
ndunia	dunia
ndunyo	dunia
ndurung	belum
ndusel2	menggusel
ndut	gendut
ne	ini
nebak	tebak
nebar	menebar
nebarkan	menebarkan
nedan	edan
nedingan	lebih baik
nee	nih
neealahh	yaelah
need	butuh
neeh	nih
neehh	nih
neekk	nek
neg	jika
neg	jika
nega	tega
negar	negara
negara2	negara negara
negarahukum	negara hukum
negarakita	negara kita
negarany	negaranya
negare	negara
negati	negatif
negative	negatif
negera	negara
negera	negara
negeri2	mengerikan
negeti	negeri
negisiasi	negosiasi
nego	negosiasi
negoro	negara
negra	negara
negri	negeri
negri	negeri
negri	negeri
negriku	negeriku
negur	menegur
neh	nih
nehehe	hehe
nehehehe	hehe
nehh	ini
neka neko	aneh
nekatnya	nekat
neken	menandatangani
neklwkwowkwkwkk	wkwk
neko	macam
neko neko	aneh
neko2	banyak mau
nekolim	neokolonialisme
nekolin	neokolonialisme
nekonomi	ekonomi
nekor	ekor
nekor6	ekor
nekr	ekor
nekspektasi	ekspektasi
nekspetasi	ekspektasi
nelen	telan
nelen	telan
nelfon	menelpon
nelfon	menelepon
nelhanan	elhanan
nelite	elite
neliyakim	elyakim
nelkana	elkana
nelpon	menelpon
nelponin	menelponi
nelu	kamu
nemak	emak
nemang	memang
nemangnya	memangnya
nembak	tembak
nembak	tembak
nembakin	menembaki
nemen	banget
nemenin	menemani
nemg	memang
nemilih	pilih
nemosi	emosi
nempel	menempel
nempelinya	tempel
nemplok	menempel
nempo	tempo
nemu	menemukan
nemui	menemui
nemuin	menemui
nenak	enak
nenangin	menenangkan
nend	selesai
nenek2	nenek nenek
nengendi	mana
nengga	tidak
nenggolan	nainggolan
nengok	menengok
nentah	entah
nentahlah	entahlah
nentang	tentang
nente	kamu
nentuin	menentukan
nentukan	tentukan
nenurut	menurut
nenyebalkan	menyebalkan
nepatin	tepat
nepotistik	nepotisme
nepu	empu
nerawang	menerawang
nerbener	benarbenar
nerd	kutu buku
neria	ceria
nerima	menerima
nerka	menerka
nerobos	menerobos
neropa	eropa
nerusin	meneruskan
nervous	grogi
nesdegan	es degan
netaas	menetas
netas	menetas
netemu	ketemu
netes	tetes
netes	tetes
nethink	negative thinking
netijen	warganet
netizen	warganet
neue	ngewe
new	baru
new	baru
new hope	harapan baru
newbie	pemula
newbienya	pemula
news	berita
newshighlightkbfm	news highlight
nex	next
nex7	next
next	selanjutnya
next	selanjutnya
nextnya	selanjutnya
nfaaiz	faiz
nfadhli	fadli
nfadli	fadli
nfahri	fahri
nfakir	fakir
nfi	fi
nfilm	film
nfollowers	pengikut
nfpi	front pembela islam
nfreeport	freeport
nfull	full
nfwb	friend with benefit
nfyi	for your information
ng tur	ngatur
ng1bul	ngibul
nga	tidak
nga	tidak
ngab	bang
ngabek	ngambek
ngabilin	mengambilkan
ngabis2in	menghabiskan
ngabisa	tidak bisa
ngabisin	habis
ngaboleh	tidak boleh
ngabuburit	menunggu berbuka puasa
ngabungin	menggabungkan
ngaca	mengaca
ngacak	acak
ngacangin	mengacang
ngaceng	ereksi
ngacir	kabur
ngacir	kabur
ngaco	kacau
ngaco	kacau
ngacoo	ngawur
ngada	tidak ada
ngada2	mengada ada
ngadain	mengadakan
ngadalin	mengandalkan
ngademin	mengademkan
ngadepin	menghadapi
ngadis	gadis
ngadmin	admin
ngadrun	kadal gurun
ngadu	mengadu
ngahahaha	haha
ngahok	ahoker
ngaitkan	kait
ngajak	mengajak
ngajak	mengajak
ngajak2	mengajak
ngajakin	mengajak
ngajar	mengajar
ngajarin	mengajarkan
ngajarkan	mengajarkan
ngajelas	tidak jelas
ngaji	kaji
ngaji	kaji
ngaji	kaji
ngaji	kaji
ngajiin	kaji
ngajinya	mengajinya
ngajix	mengajinya
ngajuin	mengajukan
ngak	tidak
ngak	tidak
ngak	tidak
ngak	tidak
ngakaaaakkk	mengakak
ngakak	tertawa
ngakakakakaka	wkwk
ngakakk	ngakak
ngakali	mengakali
ngaku	mengakui
ngaku	mengaku
ngaku	mengaku
ngaku2	mengaku
ngakuadh	tidak kuat
ngakuat	tidak kuat
ngakui	akui
ngakuin	mengakui
ngakunya	mengakuinya
ngakux	mengaku
ngalab	mengalah
ngalah	mengalah
ngalah2in	mengalahkan
ngalahi	mengalahkan
ngalahin	mengalahkan
ngalahkan	mengalahkan
ngalam	malang
ngalami	mengalami
ngalamin	mengalami
ngalihkan	alih
ngalir	mengalir
ngalirrrrr	mengalir
ngalor	ke utara
ngalus	menghaluskan
ngamanin	amanin
ngamatin	mengamati
ngambang	mengambang
ngambek	marah
ngambek	marah
ngambekan	gampang mengambek
ngambeknya	mengambeknya
ngambil	mengambil
ngambil2	ambil ambil
ngamen	mengamen
ngamfrak	ngamprah
ngamis	gamis
ngampus	pergi ke kampus
ngamuk	marah
ngamuk	marah
ngamuk	marah
ngamuk2	ngamuk ngamuk
ngamukan	gampang mengamuk
ngan	gan
nganalisa	menganalisa
nganbek	mengambek
ngancam	mengancam
ngancem	mengancam
ngancurin	menghancurkan
ngandalin	mengandalkan
ngandalke	andal
ngandang	kandang
ngandelin	andal
nganggep	menganggap
nganggepin	menanggapi
nganggur	anggur
nganggur	anggur
ngangkang	mengangkang
ngangkangin	mengangkangi
ngangkat	mengangkat
ngangkut	mengangkut
nganiaya	menganiaya
nganjing2in	menganjing anjingkan
nganot	anut
ngantar	mengantar
nganteng	ganteng
nganter	mengantar
nganterin	mengantarkan
nganti	ganti
ngantor	kantor
ngantri	antre
ngantri	antre
ngantuk	mengantuk
ngantukk	mengantuk
nganu	anu
nganutnya	menganutnya
ngapa	kenapa
ngapah	kenapa
ngapai	apa
ngapain	apa
ngapain	apa
ngapasih	kenapa sih
ngaplikasiin	memakai
ngaptek	gagap teknologi
ngapuntene	maaf
ngapus	menghapus
ngapusi	hapus
ngapusii	bohong
ngara	gara
ngara2	gara gara
ngarab	nama
ngaram	garam
ngarang	garang
ngarap	garap
ngarep	mengharap
ngarepin	mengharapkan
ngareppppp	mengharap
ngaret	terlambat
ngarsipin	mengarsipkan
ngarti	erti
ngarti	erti
ngartii	mengerti
ngartiin	mengartikan
ngartos	tahu
ngaruda	garuda
ngaruh	berpengaruh
ngaruh	berpengaruh
ngaruh	berpengaruh
ngaruhh	pengaruh
ngary	gary
ngasal	gasal
ngasi	beri
ngasi	beri
ngasih	beri
ngasih	beri
ngasih2	mengasih ngasih
ngasik	pagi
ngata	kata
ngata2in	ngata ngatai
ngata2innya	ngata ngatainnya
ngatai	memaki
ngataian	memaki
ngatain	memaki
ngatain	memaki
ngatasi	atasi
ngatasin	atasi
ngatasinnya	atasi
ngatceng	ereksi
ngatur	atur
ngatur	atur
ngatur2	atur
ngausah	tidak usah
ngawasi	mengawasi
ngawasin	mengawasi
ngawur	sembarangan
ngawur	sembarangan
ngawur	sembarangan
ngayah	tidak ya
ngayal	khayal
ngayal	khayal
ngayamu	gayamu
ngbaikin	baik
ngcek	ngecek
ngcpin	mengucapkan
ngebacanya	membacanya
ngebacot	bacot
ngebacud	bacot
ngebagus2in	memperbagus
ngebahas	membahas
ngebaik	membaik
ngebala	bala
ngebales	membalas
ngebalik	balik
ngebandel	berbuat bandel
ngebandingin	membandingkan
ngebangkang	membangkang
ngebantai	membantai
ngebantu	membantu
ngebatalin	membatalkan
ngebayang	membayang
ngebayangin	membayangkan
ngebedain	membedakan
ngebela	membela
ngebelai	membelai
ngebelain	membela
ngebelot	belot
ngebenci	membenci
ngebenerin	membenarkan
ngebiarin	membiarkan
ngeblek	geblek
ngeblend	mencampur
ngeblock	mengeblok
ngeblok	blokir
ngeblok	blokir
ngeblokir	blokir
ngebodohin	membodohi
ngebokeff	bokep
ngebokefff	menonton bokep
ngebokep	menonton bokep
ngebolehin	memperbolehkan
ngebom	mengebom
ngebuang	membuang
ngebuktiin	membuktikan
ngebully	intimidasi
ngebunuh	membunuh
ngebuzzerp	buzzer
ngecam	mengecam
ngecap	mengecap
ngecat	cat
ngecek	mengecek
ngecekin	mengecek
ngeceng	kumpul barengbareng
ngecewain	kecewa
ngecodein	mengodei
ngecopros	mencerocos
ngecounter	menangkal
ngecrot	mengeluarkan cairan
ngecuit	cuit
nged	banget
ngedabrus	omong kosong
ngedabruss	bergegas
ngedadak	mendadak
ngedance	menari
ngedancenya	menarinya
ngedanrus	omong kosong
ngedeketin	mendekati
ngedemo	demo
ngedidik	mendidik
ngediemin	mendiamkan
ngedip	mengedip
ngedit	mengedit
ngeditnya	mengeditnya
ngedm	mengirim pesan
ngedorong	mendorong
ngedown	menurun
ngedukung	mendukung
ngedumel	mengomel
ngeeooahahahaa	haha
ngefans	menggemari
ngefansnya	mengagumi
ngefek	efek
ngefek	efek
ngefek	efek
ngefekkk	efek
ngefekkk	efek
ngefitnah	fitnah
ngefollowback	mengikuti balik
ngegabungin	menggabungkan
ngegampar	menggampar
ngegantiin	menggantikan
ngegas	marah
ngegass	ayo
ngegasspool	ayo
ngegayaan	bergaya
ngegemesin	menggemaskan
ngegendong	gendong
ngegmesin	menggemaskan
ngegoblogan	ngegoblokin
ngegodain	menggodai
ngegolin	mengegolkan
ngegosip	gosip
ngegosip	gosip
ngegugel	buka google
ngeh	sadar
ngeh	sadar
ngehack	meretas
ngehadapin	hadap
ngehakimi	menghakimi
ngehamilin	menghamili
ngehancurin	menghancurkan
ngehargain	menghargai
ngehe	kesal
ngehe	kesal
ngehina	menghina
ngehinanya	menghinanya
ngehoax	hoaks
ngehujat	menghujat
ngeidealin	mengidealkan
ngeimajinasiin	mengimajinasikan
ngejabat	menjabat
ngejadiin	menjadikan
ngejaga	menjaga
ngejahit	menjahit
ngejala	gejala
ngejar	mengejar
ngejatuhin	menjatuhkan
ngejauh	menjauh
ngejauhin	menjauhi
ngejek	mengejek
ngejelek	menjelekkan
ngejelek2in	menjelek jelekkan
ngejelekin	menjelekkan
ngejer	mengejar
ngejijikin	menjijikkan
ngejilat	menjilat
ngejilat	menjilat
ngejorokin	menjorokkan
ngejuangin	memperjuangkan
ngekeh	kekeh
ngekek	mengekek
ngekep	menonton bokep
ngekick	menendang
ngeklaim	mengklaim
ngekor	mengikuti
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngeladeni	meladeni
ngeladenin	meladeni
ngelahirin	melahirkan
ngelak	elak
ngelakui	melakukan
ngelakuin	melakukan
ngelamar	melamar
ngelancarin	melancarkan
ngelanggar	melanggar
ngelantur	melantur
ngelap	mengelap
ngelaporin	melaporkan
ngelarang	melarang
ngelarang	larang
ngelarang	melarang
ngelatur	melantur
ngelawak	melawak
ngelawan	melawan
ngelayanin	melayani
ngelebarin	melebarkan
ngeledekin	meledeki
ngeleg	ngelag
ngelem	menghirup lem
ngeles	berkilah
ngeles	beralasan
ngeles	mengalihkan topik pembicaraan
ngelesnya	alasan
ngelesnya	menampik
ngelewati	melewati
ngeliat	melihat
ngeliatin	melihat
ngeliatnya	melihatnya
ngeliatnye	melihatnya
ngelibatin	melibatkan
ngelidur	melindur
ngelidur	menggigau
ngelihat	melihat
ngelihatnya	melihatnya
ngelike	menyukai
ngelola	mengelola
ngelolosin	meloloskan
ngeluarin	mengeluarkan
ngelucu	melucu
ngeluh	mengeluh
ngeluhnya	mengeluhnya
ngelus	elus
ngelus2	mengelus elus
ngembali	kembali
ngembalikan	mengembalikan
ngembang	mengembang
ngembat	mengembat
ngembat	mengembat
ngembrot	gembrot
ngemeng	bicara
ngemeng	bicara terusterusan
ngemesin	menggemaskan
ngemis	mengemis
ngemis	mengemis
ngemis2	mengemis
ngemiss	mengemis
ngemisx	ngemis
ngemot	mengemut
ngemut	mengemut
ngena	mengena
ngenal	mengenal
ngenalin	kenalkan
ngene	ini
ngenei	kena
ngenes	mengenaskan
ngeneskan	mengenaskan
ngentad	ngentot
ngentat	ngentot
ngenthod	bersenggama
ngentod	ngentot
ngentodlah	jelek
ngentot	senggama
ngentotabg	ngentot anak baru gede
ngentothijab	ngentot orang berhijab
ngentotin	ngentot
ngentotin	senggama
ngentoto	ngentot
ngentott	ngentot
ngents	kangen
ngenyeek	ejek
ngeooaahahahaa	haha
ngepak	remeh
ngepake	memakai
ngepal	mengepal
ngepatenin	mematenkan
ngeper	mengeper
ngepoin	mengepoi
ngepret	mengeprek
ngeprint	mencetak
ngerajum	rajum
ngerajut	merajut
ngerakan	gerakan
ngerakit	merakit
ngeramaikan	meramaikan
ngeramiin	meramaikan
ngerampas	merampas
ngerampok	merampok
ngerangkap	merangkap
ngerappnya	ngerapnya
ngerasa	merasa
ngerasain	merasakan
ngerasake	merasakan
ngerawat	merawat
ngerayain	merayakan
ngerayu	merayu
ngerebut	merebut
ngerebut2	merebut
ngerecokin	recok
ngerem	mengerem
ngerendahin	merendahkan
ngerengek	rengek
ngerep	ngerap
ngerepotin	merepotkan
ngeresap	meresap
ngeresep	meresap
ngerespon	merespons
ngerettwet	meretweet
ngeri	seram
ngeri2	ngeri ngeri
ngerih	mengerikan
ngerii	mengerikan
ngeriih	ngeri
ngeriii	menyeramkan
ngerik	ngeri
ngeritik	kritik
ngeriziiii	mengerikan
ngerjain	mengerjakan
ngeroasting	memanggang
ngeroket	meroket
ngerokin	mengerok
ngeroko	merokok
ngerokok	merokok
ngeroyok	mengeroyok
ngerrrriiii	ngeri
ngert	mengerti
ngerti	mengerti
ngerti	tahu
ngerti2	tau tau
ngertii	mengerti
ngertiin	mengerti
ngertikan	mengertikan
ngertilah	mengertilah
ngertinya	mengertinya
ngerto	mengerti
ngerubah	rubah
ngerubah	ubah
ngerugiin	merugikan
ngerumpi	merumpi
ngerumpi	merumpi
ngerusak	merusak
ngerussak	merusak
ngerusuh	rusuh
ngerusuhin	rusuh
ngeselin	mengesalkan
ngesend	mengirim
ngeshare	membagikan
nget	banget
ngetag	menandai
ngetawain	mentertawakan
ngeteh	mengeteh
ngetes	mengetes
ngetik	mengetik
ngetiktok	memainkan tik tok
ngetok	mengetuk
ngetok2	mengetuk
ngetren	mengetren
ngetrend	mengetren
ngets	banget
ngetsz	banget
ngettt	banget
ngetuit	mentwit
ngetweet	mentwit
ngetwit	mentwit
ngetwitt	mentwit
ngetwt	twitter
ngeue	ngewe
ngevlog	membuat video blog
ngewakilin	mewakili
ngeyel	mengeyel
ngeyel	tidak mau mengalah
ngeyel	bersikeras
ngfans	menggemari
ngfans	idola
ngg	tidak
ngg	tidak
ngga	tidak
ngga	tidak
nggaa	tidak
nggabole	tidak boleh
nggak	tidak
nggak	tidak
Nggak	tidak
nggak	tidak
nggakk	tidak
nggali	menggali
ngganti	mengganti
nggantiin	menggantikan
nggapapa	tidak apa apa
nggarai	membuat
nggax	tidak
nggebu	gebu
nggedabrus	banyak omong
nggedabruss	banyak omong
nggeh	iya
nggenah	genah
nggesek	menggesek
nggg	tidak
nggga	tidak
ngggk	tidak
nggih	iya
nggih	iya
nggilani	menggilakan
nggilani	menjijikkan
nggk	tidak
nggk	tidak
nggo	untuk
nggonggong	menggonggong
nggosok	menggosok
nggowo	membawa
ngibadah	beribadah
ngibul	menipu
ngibul	berbohong
ngibul	bohong
ngibul	bohong
ngibul	berbohong
ngibuli	kibul
ngibulin	kibul
ngibull	kibul
ngibull	kibul
ngibulnya	mengibulnya
ngibuullk	kibul
ngidam	mengidam
ngide	memberi ide
ngidolain	mengidolakan
ngidul	selatan
ngidupin	menghidupi
ngigau	mengigau
ngijolno	menukarkan
ngiklanin	mengiklankan
ngikut	mengikut
ngikut	ikut
ngikutin	mengikuti
ngilaa	gila
ngilang	menghilang
ngilang	menghilang
ngilangin	menghilangkan
ngilee	gila
ngiler	mengiler
ngiler	mau
ngilerrrr	mengiler
ngiliran	giliran
ngilmu	berilmu
ngimanapun	gimanapun
ngimpi	memimpikan
ngimpii	mimpi
ngimpor	mengimpor
ngin	ingin
ngincar	incar
ngincer	mengincar
nginden	menginden
nginep	menginap
ngingatkan	mengingatkan
ngingetin	mengingatkan
nginjak	menginjak
nginjek	menginjak
ngintilin	mengintil
ngintip	mengintip
ngintipin	mengintip
ngira	mengira
ngira	kira
ngiranya	mengiranya
ngiri	mengiri
ngiri	iri
ngiri	iri
ngiriii	mengiri
ngiriiit	irit
ngirim	mengirim
ngiringan	mengiringi
ngiritya	mengiritnya
ngirls	girls
ngisep	mengisap
ngisep	menghisap
ngisi	mengisi
ngisiin	mengisikan
ngisin	malu
ngisin ngisini	mempermalukan
ngisingg	buang air besar
ngisini	malu
ngitem	menghitam
ngitu	gitu
ngitungnya	menghitungnya
ngjk	mengajak
ngk	tidak
ngk	tidak
ngk	tidak
ngkgkgk	wkwk
ngkkkkkk	mengakak
ngkong	engkong
ngkses	nge akses
ngladeni	meladeni
nglamar	lamar
nglamar	lamar
nglantur	melantur
nglantur	lantur
nglawan	melawan
ngledekin	meledeki
ngliat	melihat
ngliatnya	melihatnya
nglunjak	melonjak
ngluruk	menyerang
ngmbek	ambek
ngmbl	mengambil
ngmg	berbicara
ngmg	bicara
ngmg	berbicara
ngmgin	mengomongkan
ngmn	bagaimana
ngmng	berbicara
ngmng	bicara
ngmngin	mengomongkan
ngmngnya	mengomongnya
ngmong	omong
ngmongn	membicarakan
ngmpl	berkumpul
ngmps	ke kampus
ngn	next generation network
ngntk	mengantuk
ngntr	ke kantor
ngo	non gonvernmental organization
ngoaahahaa	haha
ngoahaha	haha
Ngoahahaaa	hahaha
ngoahahah	haha
ngoahahaha	haha
ngobarkan	mengobarkan
ngobatin	mengobati
ngoblok	goblok
ngobrol	mengobrol
ngobrol	bincang
ngobrolin	membicarakan
ngobrolnya	mengobrolnya
ngobrolnya	bicaranya
ngoceh	mengoceh
ngocok	mengocok
ngocokin	mengocok
ngocol	kurang ajar
ngocol	lucu
ngojek	ojek
ngok	tidak
ngolok	olok
ngolokin	ejek
ngolongan	golongan
ngom	mengomong
ngomel	mengomel
ngomel	omel
ngomen	mengomentari
ngomenin	mengomentari
ngomentarin	mengomentari
ngomentnya	mengomentarinya
ngomng	ngomong
ngomnng	berbicara
ngomomg	mengomong
ngomong	berbicara
ngomong	bicara
ngomong2	ngomong ngomong
